Lake_ID;Ergasilus.spp.;harpacticoid;ostracod;Daphnia.ambigua;Daphnia.catawba;Daphnia.dentifera;Daphnia.galeata.mendotae;Daphnia.longiremis;Daphnia.parvula;Daphnia.pulicaria;Daphnia.retrocurva;Daphnia.thorata;Daphnia.spp.;Acanthocyclops.robustus;Acanthocyclops.sp.;Cyclops.scutifer;Diacyclops.thomasi;Eucyclops.elegans;Eucyclops.pectinifer;Eucyclops.spp.;Mesocyclops.edax;Microcyclops.spp.;Orthocyclops.modestus;Tropocyclops.prasinus;cyclopoid.copepodid;Aglaodiaptomus.leptopus;Aglaodiaptomus.spatulocrenatus;Epischura.lacustris;Epischura.nevadensis;Epischura.spp.;Leptodiaptomus.ashlandi;Leptodiaptomus.minutus;Leptodiaptomus.nudus;Leptodiaptomus.sicilis;Leptodiaptomus.siciloides;Limnocalanus.macrurus;Onychodiaptomus.singuienus;Senecella.calanoides;Skistodiaptomus.oregonensis;Skistodiaptomus.pallidus;Skistodiaptomus.pygmaeus;Skistodiaptomus.reighardi;Skistodiaptomus.spp.;calanoid.copepodid;Acroperus.harpae;Alona.affinis;Alona.costata;Alona.guttata;Alona.spp.;Alonella.nana;Bosmina.longirostris;Camptocercus.spp.;Ceriodaphnia.lacustris;Ceriodaphnia.spp.;Chydorus.sphaericus;Diaphanosoma.birgei;Diaphanosoma.brachyurum;Diaphanosoma.spp.;Eubosmina.coregoni;Eubosmina.longispina;Eubosmina.tubicen;Holopedium.glacialis;Macrothrix.sp.;Picripleuroxus.denticulatus;Pleuroxus.procurvus;Polyphemus.pediculus;Sida.crystallina;Simocephalus.spp.;Daphnia.dubia;Daphnia.magna;Daphnia.similis;Diacyclops.navus;Macrocyclops.albidus;Mesocyclops.americanus;Acanthodiaptomus.denticornis;Aglaodiaptomus.clavipes;Aglaodiaptomus.forbesi;Epischura.nordenskioldi;Hesperodiaptomus.arcticus;Hesperodiaptomus.eiseni;Hesperodiaptomus.nevadensis;Hesperodiaptomus.spp.;Leptodiaptomus.pribilofensis;Leptodiaptomus.tyrrelli;Alona.intermedia;Alona.quadrangularis;Alonella.acutirostris;Ceriodaphnia.quadrangula;Dunhevedia.crassa;Eubosmina.spp.;Graptoleberis.testudinaria;Ilyocryptus.spp.;Latona.sp.;Moina.spp.;Cyclops.columbianus;Daphnia.middendorffiana;Eurycercus.spp.;Hesperodiaptomus.franciscanus;Hesperodiaptomus.kenai;Heterocope.septentrionalis;Onychodiaptomus.hesperus;Scapholeberis.spp.
06-036;0;0;0;0;0;0;0;0;0;0;0;0;0.179194727474162;0;0;3.50837923005399;0;0;0;0;3.8269268540552;0;0;0;0;0;0;0;0;0;0;3.14374382846401;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.71337470705544;0;0.0194073882599311;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06-066;0;0;0;0;0;0;0;0;0;10.7230868349426;0;0;0;0;0;1.80832737360169;0;0;0;0;0.69883895946264;0;0;0.290310549944508;0;0;0.385005687;0;0;0;0;0.464613578335688;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0101032101339723;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0041496116875441;0;0.66370164772775;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06-071;0;0;0;0;0;0;0;0;0;33.0954462270071;0;0;0;0;0;0;0;0;0;0;25.118735525938;0;0;0.491517806330924;0;0;0;10.3966141260453;0;0;0;0;0;0;0;0;0;0;2.35626866459255;0;0;0;0;0;0;0;0;0;0;0;0.082000566272698;0;0;0;0;0;0;0;0;0;0;11.5164613098876;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06-080;0;0;0;0;0;0;6.79015527586557;0;0;9.16299261310214;0;0;0;0;0;0;3.49438673918261;0;0;0;2.64106546185139;0;0;0.283356023038445;0;0;2.760579368;0.444647899703255;0;0;0;1.44889063421583;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.08380744970899;0;0;1.34233526146191;0;8.33812592103669;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06-083;0;0;0;0;122.078795211372;0;20.9681854524794;0;0;0;0;0;0;0;0;0;0;0;0;0;7.48764919758401;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.61415701504448;0;0;0;0;0;0;0;0;0;0;0;5.20758960678992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06-085;0;0;0;0;0;0;1.13577660916429;0;0;175.900581214114;0;0;0;0;0;0;0;0;0;0;4.88026695955652;0;0;0.383544259397428;0;0;16.95004105;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06-095;0;0;0;0;0;0;0;0;0;0;15.8339491698938;0;0;0;0;1.07403066731041;0;0;0;0;8.74182118861817;0;0;1.36482259346612;0;0;0;1.12138420983344;0;0;0;19.3499167031585;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.13430893702551;0;0;0.80356643454829;0;0;0;0;0;0;0.319320311259015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06-096;0;0;0;0;0;0;44.0475095413832;0;0;0;0;0;0;0;0;0;1.84922958023823;0;0;0;22.0418521837447;0;0;1.11143440120248;0;0;0;0;0;0;0;7.6026758069036;0;0;0;0;0;0;1.18595960254946;0;0;0;0;0;0;0;0;0;0;0;0.374875611842358;0;0;0;0;0;0.304494891491261;0;0;0;0;12.8172613512731;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06-100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.655045204456756;0;0;0;1.66380114793963;0;0;0;0;0;0;0;0;0;0;0.433919957348717;0;0;0;0;0;0;0.229155155640567;0;0;0;0;0;0;0;0;0;0;0;0.50347800685309;0;0;0.00162494593788691;0;0;0;0;0;0;0;0.529880086429875;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06-101;0;0;0;0;0;0;2.94708414194464;0;0;0;0;0;0;0;0;0;0;0;8.75287306967855;0;0;0;0;1.45176170092872;0;0;0;21.2474242836051;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.29841564758723;0;0.0949505571749641;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
