lake_ID,lake_name,latitude,longitude,ecozone,area,size_class,watershed_area,max_depth,invivo_chla_surface,invivo_chla_bottom,filtered_chla_surface,surface_temp,watercolumn_temp,epilimnion_temp,hypolimnion_temp,tp_tube,tp_bottom,tn_tube,tn_bottom,tntp_ratio,zoo_richness,zoo_density
04-572,Nataiinlaii Gwint’ii Van,67.332779,-134.844522,Taiga Plains,0.522719,medium,1.379928725,5.5,2.025802,2.081752,2.295488178,19.28334,18.9,19.2,16.8,17.95,54.87,0.206665365,0.330262365,11.51339081,8,27.294721920999997
04-573,Dalts’an Jìthìnùu Vàn,67.34958,-134.923101,Taiga Plains,0.791204,medium,24.09425147,4.4,3.836998,3.832958,1.165818489,14.310053,14.3,14.310053,14.313815,23.15,54.87,0.255755865,0.330262365,11.04776955,9,15.048323508
04-574,NA,67.417758,-133.922557,Taiga Plains,0.099021,small,0.713264189,1,1.576944,3.486732,1.351110622,12.872814,12.9,12.872814,14.8990555,10.29,54.87,0.405095865,0.330262365,39.36791691,3,46.833225232000004
04-575,NA,67.381817,-134.040849,Taiga Plains,0.241822,small,1.116392271,1.7,4.031007,4.031007,2.968474089,17.334883,17.3,17.334883,17.332677,20.91,54.87,0.612972365,0.330262365,29.31479507,5,45.22046262800001
04-576,Chii Eche?i?i? Van,67.468001,-133.763637,Taiga Plains,0.423838,small,1.23397767,5.3,2.636868,1.659535,1.669539022,13.418347,13.4,13.418347,13.310401,13.62,54.87,0.232271865,0.330262365,17.05373458,8,9.403559188
04-577,NA,68.344096,-133.705674,Taiga Plains,0.100559,small,0.402194865,5.5,6.71469,4.381147,6.388611289,13.709737,13.7,13.709737,13.713139,47.81,54.87,0.475794865,0.330262365,9.951785505,7,0.7241832650000001
04-578,Boot Lake,68.350907,-133.708655,Taiga Plains,0.22105,small,31.27855942,4.4,3.876425,4.239609,2.5688684,16.975888,16.5,17,13.5,22.73,54.87,0.170274365,0.330262365,7.491173119,5,4.181808692
04-579,Campbell Lake,68.232838,-133.44037,Taiga Plains,35.664946,large,1316.522429,15,3.437166,3.452979,2.363060445,14.478014,14.5,14.478014,14.425748,15.79,54.87,0.438800865,0.330262365,16.95252554,3,2.741514219
04-580,NA,67.46993,-134.72108,Taiga Plains,0.73233,medium,1.957355853,1,2.998697,3.102514,7.532181334,17.131734,17.1,17.131734,17.135419,30.35,54.87,0.456261865,0.330262365,15.03333987,8,245.780145585
04-581,NA,67.432054,-134.851562,Taiga Plains,0.397939,small,6.60532446,3.9,3.676014,2.920265,2.509211067,19.231444,19.1,19.2,17.1,23.54,54.87,0.263511365,0.330262365,11.19419562,8,15.04294195
04-582,NA,68.335154,-133.680514,Taiga Plains,0.316949,small,26.54530432,5.5,6.150086,6.511015,4.602435289,13.649118,13.7,13.649118,13.653175,83.24,54.87,0.273548365,0.330262365,3.286260992,NA,NA
04-583,NA,67.442962,-134.511877,Taiga Plains,0.266181,small,36.20300757,6.3,3.371451,3.486732,2.339906311,17.650959,17.4,17.6,14.8,17.41,54.87,0.264763865,0.330262365,15.2075741,5,53.492081449
