lake_ID,sampling_date,lake_name,latitude,longitude,province,ecozone,area,size_class,hi_index,hi_class,altitude,utc,shoreline_length,ecoprovince,watershed_area,area_agriculture,area_forestry,area_mines,area_natlandscapes,area_pasture,area_urban,area_water,fraction_agriculture,fraction_forestry,fraction_mines,fraction_natlandscapes,fraction_pasture,fraction_urban,fraction_water,max_depth,circularity,area_carbonitic,area_evaporites,area_potential_carbonates,fraction_carbonitic,fraction_evaporites,fraction_potential_carbonates,rbr_chla_mean_tube,rbr_chla_mean_bottom,do_percenttsaturation_bottom,do_concentration_bottom,do_percenttsaturation_tube,do_concentration_tube,rbr_salinity_tube,rbr_salinity_bottom,rbr_salinity_hypolimnion,rbr_conductivity_tube,rbr_conductivity_bottom,rbr_conductivity_hypolimnion,rbr_specific_conductance_tube,rbr_specific_conductance_bottom,rbr_specific_conductance_hypolimnion,rbr_sea_pressure_mean_tube,rbr_sea_pressure_mean_bottom,rbr_sound_velocity_mean_tube,rbr_sound_velocity_mean_bottom,rbr_temperature_mean_tube,rbr_temperature_mean_bottom,rbr_temperature_mean_watercolumn,rbr_temperature_mean_top0.5m,rbr_temperature_mean_top1m,rbr_temperature_mean_topmost,rbr_temperature_mean_epilimnion,rbr_temperature_mean_hypolimnion,stratification,doc,dic,tss,spm_mineral,spm_organic,ph_epilimnion,ph_hypolimnion,tp_tube,tp_bottom,tn_tube,tn_bottom,tntp_ratio,srp_epilimnion,srp_hypolimnion,colour,chloride,sulfate,calcium,potassium,magnesium,sodium,secchi_am_index,secchi_pm_optics,air_temperature_am_index,relative_humidity_am_index,atm_pressure_am_index,wind_speed_max_am_index,wind_speed_avg_am_index,air_temperature_pm_optics,relative_humidity_pm_optics,atm_pressure_pm_optics,wind_speed_max_pm_optics,wind_speed_avg_pm_optics,bruntvaisala_max,bruntvaisala_mean,centerbuoyancy,temperature_mean_7d,temperature_mean_30d,precipitation_total_7d,precipitation_total_30d,solar_radiation_net_7d,solar_radiation_net_30d,windspeed_mean_7d,windspeed_mean_30d,heating_degdays_mean_7d,heating_degdays_total_7d,cooling_degdays_mean_7d,cooling_degdays_total_7d,heating_degdays_mean_30d,heating_degdays_total_30d,cooling_degdays_mean_30d,cooling_degdays_total_30d,population,fraction_fire,area_fire,fraction_fire_6yrs,area_fire_6yrs,chla
04-572,7/31/2019,Nataiinlaii Gwint’ii Van,67.332779,-134.844522,Northwest Territories,Taiga Plains,0.522719,medium,0.050052,moderate,8,-7,5957,Mackenzie Foothills,1.379928725,0,0,0,0.680808855,0,0.035870933,0.663248937,0,0,0,0.493365231,0,0.025994773,0.480639996,5.5,0.122812,0,0,1.379928697,0,0,1,2.025802,2.081752,100.95571,9.458937,115.223324,10.557748,0.074858,0.077541,0.077541,0.135923,0.138614,0.138614,152.58367,158.626023,158.626023,1.013247,3.838579,1480.239152,1477.54558,19.28334,18.419243,18.9,19.3,19.3,19.3,19.2,16.8,stratified,8.455,9.4475,NA,NA,NA,8.345,8.47,17.95,54.87,0.206665365,0.330262365,11.51339081,3.53499594,40.06292181,21.24014451,1.2315,17.55,16.11790909,0.687142857,8.461363636,2.5565625,2.6,3.24,20.1,NA,1009,2.4,1.7,21.4,NA,1008.8,3.6,2.9,0.004985349,0.001107555,3.90382075,16.99429438,16.45046637,0.044295932,0.476786139,7128469.092,6525971.359,1.790601355,1.638407141,1.508511498,10.55958049,0.844325184,5.910276286,2.129393684,63.88181051,0.540842353,16.22527059,0,0,0,0,0,2.295488178
04-573,8/10/2019,Dalts’an Jìthìnùu Vàn,67.34958,-134.923101,Northwest Territories,Taiga Plains,0.791204,medium,0.013942,low,13,-7,10769.7,Mackenzie Foothills,24.09425147,0,6.25E-04,0,21.11258312,0,0.298201863,2.682841486,0,2.59E-05,0,0.876249804,0,0.012376473,0.111347783,4.4,0.072459,0,0,24.09425145,0,0,1,3.836998,3.832958,83.405693,8.571798,83.334561,8.565046,0.088368,0.088475,0.088475,0.145819,0.146012,0.183136,183.230841,183.4561,206.158065,1.004842,2.162195,1463.630645,1463.660929,14.310053,14.313815,14.3,14.3,14.3,14.3,14.310053,14.313815,mixed,17.4275,7.57,NA,NA,NA,8.3,8.47,23.15,54.87,0.255755865,0.330262365,11.04776955,5.743478341,40.06292181,100.3286461,0.6315,48.18,17.56790909,1.697142857,7.577363636,7.1065625,1.1,1.275,8.8,NA,1019.5,2.9,2.4,8.7,NA,1019.3,2.5,2,4.02E-06,0,2.256081112,11.33590469,15.80956048,0.134390436,0.427219084,3732194.984,5909551.482,1.690793549,1.623158657,6.382174555,44.67522189,0,0,2.706029608,81.18088824,0.500859443,15.02578328,0,0,0,0,0,1.165818489
04-574,8/9/2019,NA,67.417758,-133.922557,Northwest Territories,Taiga Plains,0.099021,small,0.041149,moderate,79,-7,1226.1,Great Bear Lowlands,0.713264189,0,0,0,0.360774193,0,0.015482532,0.337007464,0,0,0,0.505807243,0,0.021706588,0.472486169,1,0.827686,0,0,0.713264169,0,0,1,1.576944,3.486732,96.226872,9.458937,110.132057,11.578871,0.081301,0.100001,0.094238,0.129885,0.183136,0.183136,169.039515,206.158065,206.158065,0.118078,2.58105,1458.39141,1468.905298,12.872814,15.9368965,12.9,12.9,12.9,12.9,12.872814,14.8990555,mixed,20.5375,15.2575,NA,NA,NA,8.345,8.47,10.29,54.87,0.405095865,0.330262365,39.36791691,1.809619064,40.06292181,19.59114717,6.0315,2.7,21.41790909,0.867142857,7.828363636,4.3465625,1.9,2.0625,13.1,NA,1010.3,4.6,3.8,15.1,NA,1009.7,6.2,5.2,1.34E-04,1.05E-04,2.614982174,11.87091762,16.22726589,0.1434798,0.422017765,4238630.606,6358150.176,2.478987548,2.243367598,6.047997175,42.33598022,0,0,2.44163236,73.24897079,0.756057807,22.68173421,0,0,0,0,0,1.351110622
04-575,8/1/2019,NA,67.381817,-134.040849,Northwest Territories,Taiga Plains,0.241822,small,0.062918,moderate,65,-7,1874.8,Great Bear Lowlands,1.116392271,0,0,0,0.804667314,0,0.054027247,0.257697711,0,0,0,0.720774708,0,0.048394501,0.230830791,1.7,0.864575,0,0,1.116392275,0,0,1,4.031007,4.031007,89.079391,8.424406,89.077726,8.4238,0.090172,0.090166,0.094238,0.15865,0.158635,0.183136,185.864911,185.852596,206.158065,0.444579,0.472549,1473.988975,1473.982007,17.334883,17.332677,17.3,17.3,17.3,17.3,17.334883,17.332677,mixed,18.4625,14.07,NA,NA,NA,8.11,8.47,20.91,54.87,0.612972365,0.330262365,29.31479507,3.67302609,40.06292181,35.27212988,13.2315,7.22,23.19790909,0.347142857,7.926363636,3.7365625,1.9,2.0625,19.2,NA,1000.7,4.5,3.3,18.3,NA,999.5,3.4,2.8,1.99E-04,1.57E-04,0.741202125,17.07200085,16.90169284,0.030301064,0.35157249,7230980.854,6798871.878,2.381799885,2.114062139,1.269623384,8.887363688,0.482310268,3.376171875,1.902347285,57.07041855,0.729452108,21.88356323,0,0,0,0,0,2.968474089
04-576,8/8/2019,Chii Eche?i?i? Van,67.468001,-133.763637,Northwest Territories,Taiga Plains,0.423838,small,0.058585,moderate,22,-7,4164.5,Great Bear Lowlands,1.23397767,0,0,0.019867435,0.686509446,0,0.022854252,0.504746537,0,0,0.01610032,0.55633863,0,0.018520799,0.409040252,5.3,0.307106,0,0,1.233977686,0,0,1,2.636868,1.659535,96.226872,10.184039,97.553151,10.298283,0.096572,0.096804,0.094238,0.156451,0.156458,0.183136,200.889459,201.435576,206.158065,1.021608,3.857,1460.428826,1460.079687,13.418347,13.310401,13.4,13.4,13.4,13.4,13.418347,13.310401,mixed,9.575,13.61,NA,NA,NA,8.345,8.47,13.62,54.87,0.232271865,0.330262365,17.05373458,0.5,40.06292181,20.31448151,28.4115,131.96,22.28790909,0.677142857,8.982363636,6.7465625,3.5,3.65,7.9,NA,1026.7,1.8,1,17.4,NA,1025.7,1.9,1.5,1.17E-04,3.85E-05,3.278299989,12.06271043,16.18526556,0.17042685,0.415615921,4136730.982,6433315.422,2.561293327,2.253680649,5.27262021,36.90834147,4.53E-04,0.003167725,2.382997784,71.48993352,0.674542508,20.23627523,0,0,0,0,0,1.669539022
04-577,8/5/2019,NA,68.344096,-133.705674,Northwest Territories,Taiga Plains,0.100559,small,0.460913,high,5,-7,1594,Great Bear Lowlands,0.402194865,0,0,0,0.145299457,0,0.124229211,0.132666197,0,0,0,0.361266315,0,0.308878163,0.329855522,5.5,0.497333,0,0,0.40219488,0,0,1,6.71469,4.381147,79.795529,8.35412,79.438451,8.317352,0.253498,0.25369,0.094238,0.408616,0.408964,0.183136,520.956847,521.35741,206.158065,1.009153,3.663528,1461.67756,1461.731642,13.709737,13.713139,13.7,13.7,13.7,13.7,13.709737,13.713139,mixed,15.4975,33.21,NA,NA,NA,8.33,8.47,47.81,54.87,0.475794865,0.330262365,9.951785505,15.12952855,40.06292181,29.52357238,61.3315,107.27,56.09790909,2.157142857,24.92236364,21.3065625,2.55,2.1,6.7,NA,1025.9,7.7,6.4,11.5,NA,1026.1,6.6,4.9,5.20E-06,0,1.734997419,13.99299229,14.92828314,0.117163239,0.436911152,5412456.418,6840441.996,3.428646758,2.810715263,3.761693464,26.33185425,0.002921549,0.020450846,3.203630719,96.10892156,0.159632297,4.788968913,2,0,0,0,0,6.388611289
04-578,8/3/2019,Boot Lake,68.350907,-133.708655,Northwest Territories,Taiga Plains,0.22105,small,0.048559,moderate,4,-7,2572.6,Great Bear Lowlands,31.27855942,0,0.005625,0.290468377,27.66746331,0,1.11893693,2.196065797,0,1.80E-04,0.009286501,0.884550434,0,0.035773288,0.070209941,4.4,0.419717,0,0,31.27855947,0,0,1,3.876425,4.239609,95.419884,9.401408,99.195735,9.513354,0.17918,0.214635,0.214635,0.313749,0.36643,0.36643,370.537623,442.296125,442.296125,0.971997,3.003162,1472.91681,1470.158961,16.975888,16.139157,16.5,17,17,16.9,17,13.5,stratified,10.905,16.0725,NA,NA,NA,8.1,8.47,22.73,54.87,0.170274365,0.330262365,7.491173119,6.433629091,40.06292181,35.00349837,35.5115,98.53,43.12790909,1.527142857,14.43236364,11.7065625,1.9,2,12.9,NA,1007.9,2.3,1.7,14.8,NA,1006.7,3.6,2.4,0.006266067,0.001396521,3.195406992,14.66723894,14.54339578,0.063585043,0.494596283,6810365.324,6800407.251,2.836150619,2.755274337,3.330914016,23.31639811,0,0,3.477259733,104.317792,0.063842977,1.915289307,1108,0,0,0,0,2.5688684
04-579,8/7/2019,Campbell Lake,68.232838,-133.44037,Northwest Territories,Taiga Plains,35.664946,large,0.002156,low,5,-7,69855.4,Great Bear Lowlands,1316.522429,0,0.156875,0.04125,1090.695296,0,2.236830569,223.392177,0,1.19E-04,3.13E-05,0.828466931,0,0.001699045,0.169683533,15,0.088727,0,0,1316.522429,0,0,1,3.437166,3.452979,92.628199,9.592357,92.339331,9.550489,0.096929,0.096444,0.094238,0.160735,0.159765,0.183136,201.162886,200.198806,206.158065,0.757206,12.923765,1464.236045,1464.245293,14.478014,14.425748,14.5,14.5,14.5,14.5,14.478014,14.425748,mixed,8.835,14.3575,NA,NA,NA,8.18,8.47,15.79,54.87,0.438800865,0.330262365,16.95252554,6.433629091,40.06292181,32.31984965,30.1015,141.02,25.28790909,1.127142857,6.716363636,5.6665625,1.65,2.025,6.9,NA,1029.6,5.2,4.2,8.9,NA,1028,3.2,3.1,6.13E-05,5.25E-06,10.40007545,12.32742135,14.73542188,0.155817629,0.364656746,4407677.472,6539988.411,3.083152815,2.473597971,5.243443371,36.7041036,0,0,3.354822939,100.6446882,0.15388109,4.616432699,0,0,0,0.01658351,0.218325635,2.363060445
04-580,7/30/2019,NA,67.46993,-134.72108,Northwest Territories,Taiga Plains,0.73233,medium,0.070806,moderate,39,-7,4300,Great Bear Lowlands,1.957355853,0,0,0,1.016810325,0,0.077483034,0.863062498,0,0,0,0.519481586,0,0.039585563,0.440932851,1,0.497706,0,0,1.957355882,0,0,1,2.998697,3.102514,98.746318,9.459649,98.785711,9.462984,0.060209,0.060236,0.094238,0.103533,0.103591,0.183136,121.844523,121.901846,206.158065,0.313687,0.429156,1473.281698,1473.295693,17.131734,17.135419,17.1,17.1,17.1,17.1,17.131734,17.135419,mixed,13.455,8.1975,NA,NA,NA,8.345,8.47,30.35,54.87,0.456261865,0.330262365,15.03333987,2.844845189,40.06292181,20.35380196,17.7415,78.24,11.45790909,0.477142857,4.310363636,7.2365625,1.9,2.0625,16.1,NA,1009.3,1.1,0.6,16.4,NA,1009,1.8,0.9,0,0,2.614982174,18.14391189,16.35524792,0.012837255,0.379578449,7410314.476,6537515.853,1.876219472,1.66699194,0.771758161,5.402307129,1.343327404,9.403291829,2.222487335,66.67462006,0.552872247,16.5861674,0,0,0,0,0,7.532181334
04-581,7/29/2019,NA,67.432054,-134.851562,Northwest Territories,Taiga Plains,0.397939,small,0.06338,moderate,10,-7,5712.1,Mackenzie Foothills,6.60532446,0,6.25E-04,0,5.197214108,0,0.351395699,1.056089654,0,9.46E-05,0,0.786821925,0,0.053198855,0.159884599,3.9,0.153264,0,0,6.605324445,0,0,1,3.676014,2.920265,106.59262,9.87807,106.373594,9.800621,0.100239,0.100001,0.100001,0.183873,0.183136,0.183136,206.640346,206.158065,206.158065,1.04914,2.58105,1480.107809,1479.885221,19.231444,19.152851,19.1,19.2,19.2,19.2,19.2,17.1,stratified,10.1,11.975,NA,NA,NA,8.345,8.47,23.54,54.87,0.263511365,0.330262365,11.19419562,1.602573839,40.06292181,31.81761972,11.9115,199.48,24.86790909,0.857142857,9.222363636,4.1465625,2.4,3.05,14.4,NA,1013.6,3.9,2.5,18.1,NA,1013.1,1.6,1.2,0.00387204,6.68E-04,2.893765252,18.63156535,16.1116773,0.015920391,0.467054001,7103990.225,6388831.452,1.74645659,1.547516975,0.499079822,3.493558756,1.377610851,9.64327596,2.445691884,73.37075653,0.500859443,15.02578328,211,0,0,0,0,2.509211067
